,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED INPUTS,RESULT
87,20220626_040436_3620108077,0.22999999999999998,0.25000000000000006,25,[ 0.23721083  0.23527413 25.87595022],781.9238665843152
88,20220626_040436_3620108077,0.22999999999999998,0.30000000000000004,20,[ 0.24023639  0.30550492 19.69033246],802.3666937971382
89,20220626_040436_3620108077,0.22999999999999998,0.30000000000000004,25,[ 0.221375  0.3075   25.625   ],762.6606401220874
90,20220626_040436_3620108077,0.22999999999999998,0.3500000000000001,20,[ 0.22997944  0.34686734 21.36180016],776.1533786995005
91,20220626_040436_3620108077,0.22999999999999998,0.3500000000000001,25,[ 0.22616667  0.34708333 25.625     ],844.2992997516462
92,20220626_040436_3620108077,0.22999999999999998,0.40000000000000013,20,[ 0.25285014  0.37582305 20.27503429],780.4982582927687
93,20220626_040436_3620108077,0.22999999999999998,0.40000000000000013,25,[ 0.23566915  0.41504458 25.50990226],1031.4566815257613
94,20220626_040436_3620108077,0.22999999999999998,0.45000000000000007,20,[ 0.24509079  0.45216435 19.86779835],840.7009345808804
95,20220626_040436_3620108077,0.22999999999999998,0.45000000000000007,25,[ 0.23478575  0.46644676 24.53510802],891.5035835943039
96,20220721_053919_3620108077,0.19,0.1,20,[ 0.19  0.1  20.  ],100000.0
97,20220721_053919_3620108077,0.19,0.1,25,[ 0.19  0.1  25.  ],100000.0
98,20220721_053919_3620108077,0.19,0.15000000000000002,20,[ 0.19  0.15 20.  ],100000.0
99,20220721_053919_3620108077,0.19,0.15000000000000002,25,[ 0.19  0.15 25.  ],100000.0
100,20220721_053919_3620108077,0.19,0.20000000000000004,20,[ 0.19  0.2  20.  ],1252.959307669474
101,20220721_053919_3620108077,0.19,0.20000000000000004,25,[ 0.19316667  0.20833333 24.375     ],1264.5933993044662
102,20220721_053919_3620108077,0.19,0.25000000000000006,20,[ 0.19357624  0.25906997 20.7117091 ],1005.9039079634829
103,20220721_053919_3620108077,0.19,0.25000000000000006,25,[ 0.2077392   0.24926698 23.75578704],990.2678402033004
104,20220721_053919_3620108077,0.19,0.30000000000000004,20,[ 0.20022732  0.31417567 18.03249314],906.1233756879344
105,20220721_053919_3620108077,0.19,0.30000000000000004,25,[ 0.1957011   0.30587674 25.07595486],1035.6989826806664
106,20220721_053919_3620108077,0.19,0.3500000000000001,20,[ 0.19  0.35 20.  ],100000.0
107,20220721_053919_3620108077,0.19,0.3500000000000001,25,[ 0.19  0.35 25.  ],100000.0
108,20220721_053919_3620108077,0.19,0.40000000000000013,20,[ 0.19  0.4  20.  ],100000.0
109,20220721_053919_3620108077,0.19,0.40000000000000013,25,[ 0.19  0.4  25.  ],100000.0
110,20220721_053919_3620108077,0.19,0.45000000000000007,20,[ 0.19  0.45 20.  ],100000.0
111,20220721_053919_3620108077,0.19,0.45000000000000007,25,[ 0.19  0.45 25.  ],100000.0
112,20220721_053919_3620108077,0.21,0.1,20,[ 0.21  0.1  20.  ],100000.0
113,20220721_053919_3620108077,0.21,0.1,25,[ 0.21  0.1  25.  ],100000.0
114,20220721_053919_3620108077,0.21,0.15000000000000002,20,[ 0.21  0.15 20.  ],100000.0
115,20220721_053919_3620108077,0.21,0.15000000000000002,25,[ 0.21  0.15 25.  ],100000.0
116,20220721_053919_3620108077,0.21,0.20000000000000004,20,[ 0.21770486  0.20863426 18.31018519],1117.8006181898718
117,20220721_053919_3620108077,0.21,0.20000000000000004,25,[ 0.20836343  0.19949074 26.20563272],1539.4341523815076
118,20220721_053919_3620108077,0.21,0.25000000000000006,20,[ 0.20854167  0.25914352 20.39814815],945.0564788715218
119,20220721_053919_3620108077,0.21,0.25000000000000006,25,[ 0.21357132  0.23483761 25.72579685],951.7050430624379
120,20220721_053919_3620108077,0.21,0.30000000000000004,20,[ 0.2165625  0.309375  19.625    ],888.3962504432819
121,20220721_053919_3620108077,0.21,0.30000000000000004,25,[ 0.22054861  0.31638889 22.3900463 ],923.1778372423331
122,20220721_053919_3620108077,0.21,0.3500000000000001,20,[ 0.21  0.35 20.  ],1167.9960267946403
123,20220721_053919_3620108077,0.21,0.3500000000000001,25,[ 0.21175     0.35291667 24.6875    ],1167.9960267946403
124,20220721_053919_3620108077,0.21,0.40000000000000013,20,[ 0.217875  0.4      20.      ],1375.8638087904192
125,20220721_053919_3620108077,0.21,0.40000000000000013,25,[ 0.21  0.4  25.  ],100000.0
126,20220721_053919_3620108077,0.21,0.45000000000000007,20,[ 0.21  0.45 20.  ],100000.0
127,20220721_053919_3620108077,0.21,0.45000000000000007,25,[ 0.21  0.45 25.  ],100000.0
128,20220721_053919_3620108077,0.22999999999999998,0.1,20,[ 0.23  0.1  20.  ],100000.0
129,20220721_053919_3620108077,0.22999999999999998,0.1,25,[ 0.23  0.1  25.  ],100000.0
130,20220721_053919_3620108077,0.22999999999999998,0.15000000000000002,20,[ 0.23  0.15 20.  ],100000.0
131,20220721_053919_3620108077,0.22999999999999998,0.15000000000000002,25,[ 0.23  0.15 25.  ],100000.0
132,20220721_053919_3620108077,0.22999999999999998,0.20000000000000004,20,[ 0.23  0.21 20.  ],1212.3781120047247
133,20220721_053919_3620108077,0.22999999999999998,0.20000000000000004,25,[ 0.23067734  0.20037809 26.27346965],1260.294094935705
134,20220721_053919_3620108077,0.22999999999999998,0.25000000000000006,20,[ 0.22510185  0.29467593 17.88888889],941.4095294531016
135,20220721_053919_3620108077,0.22999999999999998,0.25000000000000006,25,[ 0.2311358   0.26859568 24.88425926],890.1332377778697
136,20220721_053919_3620108077,0.22999999999999998,0.30000000000000004,20,[ 0.22703051  0.31408972 20.17931241],906.1233756879344
137,20220721_053919_3620108077,0.22999999999999998,0.30000000000000004,25,[ 0.23163272  0.31310185 24.24768519],989.0913676405962
138,20220721_053919_3620108077,0.22999999999999998,0.3500000000000001,20,[ 0.23  0.35 20.  ],906.1233756879344
139,20220721_053919_3620108077,0.22999999999999998,0.3500000000000001,25,[ 0.24328061  0.34370756 25.72595165],991.2055486311741
140,20220721_053919_3620108077,0.22999999999999998,0.40000000000000013,20,[ 0.232875  0.4      20.      ],1270.002682139399
141,20220721_053919_3620108077,0.22999999999999998,0.40000000000000013,25,[ 0.23  0.4  25.  ],100000.0
142,20220721_053919_3620108077,0.22999999999999998,0.45000000000000007,20,[ 0.23  0.45 20.  ],100000.0
143,20220721_053919_3620108077,0.22999999999999998,0.45000000000000007,25,[ 0.23  0.45 25.  ],100000.0
144,20220722_222826_3620108076,0.19,0.1,20,[ 0.19  0.1  20.  ],100000.0
145,20220722_222826_3620108076,0.19,0.1,25,[ 0.19  0.1  25.  ],100000.0
146,20220722_222826_3620108076,0.19,0.15000000000000002,20,[ 0.19  0.15 20.  ],100000.0
147,20220722_222826_3620108076,0.19,0.15000000000000002,25,[ 0.19  0.15 25.  ],100000.0
148,20220722_222826_3620108076,0.19,0.20000000000000004,20,[ 0.19  0.2  20.  ],100000.0
149,20220722_222826_3620108076,0.19,0.20000000000000004,25,[ 0.19  0.2  25.  ],100000.0
150,20220722_222826_3620108076,0.19,0.25000000000000006,20,[ 0.19  0.25 20.  ],100000.0
151,20220722_222826_3620108076,0.19,0.25000000000000006,25,[ 0.19  0.25 25.  ],100000.0
152,20220722_222826_3620108076,0.19,0.30000000000000004,20,[ 0.19  0.3  20.  ],100000.0
153,20220722_222826_3620108076,0.19,0.30000000000000004,25,[ 0.19  0.3  25.  ],100000.0
154,20220722_222826_3620108076,0.19,0.3500000000000001,20,[ 0.19  0.35 20.  ],100000.0
155,20220722_222826_3620108076,0.19,0.3500000000000001,25,[ 0.19  0.35 25.  ],100000.0
156,20220722_222826_3620108076,0.19,0.40000000000000013,20,[ 0.19  0.4  20.  ],100000.0
157,20220722_222826_3620108076,0.19,0.40000000000000013,25,[ 0.19  0.4  25.  ],100000.0
158,20220722_222826_3620108076,0.19,0.45000000000000007,20,[ 0.19  0.45 20.  ],100000.0
159,20220722_222826_3620108076,0.19,0.45000000000000007,25,[ 0.19  0.45 25.  ],100000.0
160,20220722_222826_3620108076,0.21,0.1,20,[ 0.21  0.1  20.  ],100000.0
161,20220722_222826_3620108076,0.21,0.1,25,[ 0.21  0.1  25.  ],100000.0
162,20220722_222826_3620108076,0.21,0.15000000000000002,20,[ 0.21  0.15 20.  ],100000.0
163,20220722_222826_3620108076,0.21,0.15000000000000002,25,[ 0.21  0.15 25.  ],100000.0
164,20220722_222826_3620108076,0.21,0.20000000000000004,20,[ 0.21  0.2  20.  ],100000.0
165,20220722_222826_3620108076,0.21,0.20000000000000004,25,[ 0.21  0.2  25.  ],100000.0
166,20220722_222826_3620108076,0.21,0.25000000000000006,20,[ 0.21  0.25 20.  ],100000.0
167,20220722_222826_3620108076,0.21,0.25000000000000006,25,[ 0.21  0.25 25.  ],100000.0
168,20220722_222826_3620108076,0.21,0.30000000000000004,20,[ 0.21  0.3  20.  ],100000.0
169,20220722_222826_3620108076,0.21,0.30000000000000004,25,[ 0.21  0.3  25.  ],100000.0
170,20220722_222826_3620108076,0.21,0.3500000000000001,20,[ 0.21  0.35 20.  ],100000.0
171,20220722_222826_3620108076,0.21,0.3500000000000001,25,[ 0.21  0.35 25.  ],100000.0
172,20220722_222826_3620108076,0.21,0.40000000000000013,20,[ 0.21  0.4  20.  ],100000.0
173,20220722_222826_3620108076,0.21,0.40000000000000013,25,[ 0.21  0.4  25.  ],100000.0
174,20220722_222826_3620108076,0.21,0.45000000000000007,20,[ 0.21  0.45 20.  ],100000.0
175,20220722_222826_3620108076,0.21,0.45000000000000007,25,[ 0.21  0.45 25.  ],100000.0
176,20220722_222826_3620108076,0.22999999999999998,0.1,20,[ 0.23  0.1  20.  ],100000.0
177,20220722_222826_3620108076,0.22999999999999998,0.1,25,[ 0.23  0.1  25.  ],100000.0
178,20220722_222826_3620108076,0.22999999999999998,0.15000000000000002,20,[ 0.23  0.15 20.  ],100000.0
179,20220722_222826_3620108076,0.22999999999999998,0.15000000000000002,25,[ 0.23  0.15 25.  ],100000.0
180,20220722_222826_3620108076,0.22999999999999998,0.20000000000000004,20,[ 0.23  0.2  20.  ],100000.0
181,20220722_222826_3620108076,0.22999999999999998,0.20000000000000004,25,[ 0.23  0.2  25.  ],100000.0
182,20220722_222826_3620108076,0.22999999999999998,0.25000000000000006,20,[ 0.23  0.25 20.  ],100000.0
183,20220722_222826_3620108076,0.22999999999999998,0.25000000000000006,25,[ 0.23  0.25 25.  ],100000.0
184,20220722_222826_3620108076,0.22999999999999998,0.30000000000000004,20,[ 0.23  0.3  20.  ],100000.0
185,20220722_222826_3620108076,0.22999999999999998,0.30000000000000004,25,[ 0.23  0.3  25.  ],100000.0
186,20220722_222826_3620108076,0.22999999999999998,0.3500000000000001,20,[ 0.23  0.35 20.  ],100000.0
187,20220722_222826_3620108076,0.22999999999999998,0.3500000000000001,25,[ 0.23  0.35 25.  ],100000.0
188,20220722_222826_3620108076,0.22999999999999998,0.40000000000000013,20,[ 0.23  0.4  20.  ],100000.0
189,20220722_222826_3620108076,0.22999999999999998,0.40000000000000013,25,[ 0.23  0.4  25.  ],100000.0
190,20220722_222826_3620108076,0.22999999999999998,0.45000000000000007,20,[ 0.23  0.45 20.  ],100000.0
191,20220722_222826_3620108076,0.22999999999999998,0.45000000000000007,25,[ 0.23  0.45 25.  ],100000.0
192,20220724_012227_3620110077,0.19,0.1,20,[ 0.19  0.1  20.  ],100000.0
193,20220724_012227_3620110077,0.19,0.1,25,[ 0.19  0.1  25.  ],100000.0
194,20220724_012227_3620110077,0.19,0.15000000000000002,20,[ 0.19  0.15 20.  ],100000.0
195,20220724_012227_3620110077,0.19,0.15000000000000002,25,[ 0.19  0.15 25.  ],100000.0
196,20220724_012227_3620110077,0.19,0.20000000000000004,20,[ 0.19  0.2  20.  ],100000.0
197,20220724_012227_3620110077,0.19,0.20000000000000004,25,[ 0.19  0.2  25.  ],100000.0
198,20220724_012227_3620110077,0.19,0.25000000000000006,20,[ 0.19  0.25 20.  ],100000.0
199,20220724_012227_3620110077,0.19,0.25000000000000006,25,[ 0.19  0.25 25.  ],100000.0
200,20220724_012227_3620110077,0.19,0.30000000000000004,20,[ 0.18841667  0.3125     19.5       ],9359.210687258601
201,20220724_012227_3620110077,0.19,0.30000000000000004,25,[ 0.19  0.3  25.  ],6549.705453596161
202,20220724_012227_3620110077,0.19,0.3500000000000001,20,[ 0.19  0.35 20.  ],100000.0
203,20220724_012227_3620110077,0.19,0.3500000000000001,25,[ 0.19  0.35 25.  ],100000.0
204,20220724_012227_3620110077,0.19,0.40000000000000013,20,[ 0.19  0.4  20.  ],100000.0
205,20220724_012227_3620110077,0.19,0.40000000000000013,25,[ 0.19  0.4  25.  ],100000.0
206,20220724_012227_3620110077,0.19,0.45000000000000007,20,[ 0.19  0.45 20.  ],100000.0
207,20220724_012227_3620110077,0.19,0.45000000000000007,25,[ 0.19  0.45 25.  ],100000.0
208,20220724_012227_3620110077,0.21,0.1,20,[ 0.21  0.1  20.  ],100000.0
209,20220724_012227_3620110077,0.21,0.1,25,[ 0.21  0.1  25.  ],100000.0
210,20220724_012227_3620110077,0.21,0.15000000000000002,20,[ 0.21  0.15 20.  ],100000.0
211,20220724_012227_3620110077,0.21,0.15000000000000002,25,[ 0.21  0.15 25.  ],100000.0
212,20220724_012227_3620110077,0.21,0.20000000000000004,20,[ 0.21  0.2  20.  ],100000.0
213,20220724_012227_3620110077,0.21,0.20000000000000004,25,[ 0.21  0.2  25.  ],100000.0
214,20220724_012227_3620110077,0.21,0.25000000000000006,20,[ 0.21  0.25 20.  ],100000.0
215,20220724_012227_3620110077,0.21,0.25000000000000006,25,[ 0.21  0.25 25.  ],100000.0
216,20220724_012227_3620110077,0.21,0.30000000000000004,20,[ 0.217875  0.30375  20.      ],6626.920518498273
217,20220724_012227_3620110077,0.21,0.30000000000000004,25,[ 0.21153125  0.3040625  25.546875  ],8467.716488730906
218,20220724_012227_3620110077,0.21,0.3500000000000001,20,[ 0.21  0.35 20.  ],100000.0
219,20220724_012227_3620110077,0.21,0.3500000000000001,25,[ 0.21  0.35 25.  ],100000.0
220,20220724_012227_3620110077,0.21,0.40000000000000013,20,[ 0.21  0.4  20.  ],100000.0
221,20220724_012227_3620110077,0.21,0.40000000000000013,25,[ 0.21  0.4  25.  ],100000.0
222,20220724_012227_3620110077,0.21,0.45000000000000007,20,[ 0.21  0.45 20.  ],100000.0
223,20220724_012227_3620110077,0.21,0.45000000000000007,25,[ 0.21  0.45 25.  ],100000.0
224,20220724_012227_3620110077,0.22999999999999998,0.1,20,[ 0.23  0.1  20.  ],100000.0
225,20220724_012227_3620110077,0.22999999999999998,0.1,25,[ 0.23  0.1  25.  ],100000.0
226,20220724_012227_3620110077,0.22999999999999998,0.15000000000000002,20,[ 0.23  0.15 20.  ],100000.0
227,20220724_012227_3620110077,0.22999999999999998,0.15000000000000002,25,[ 0.23  0.15 25.  ],100000.0
228,20220724_012227_3620110077,0.22999999999999998,0.20000000000000004,20,[ 0.23  0.2  20.  ],100000.0
229,20220724_012227_3620110077,0.22999999999999998,0.20000000000000004,25,[ 0.2415  0.21   22.5   ],9202.096034633912
230,20220724_012227_3620110077,0.22999999999999998,0.25000000000000006,20,[ 0.2506929   0.25142747 19.28703704],9056.114442953318
231,20220724_012227_3620110077,0.22999999999999998,0.25000000000000006,25,[ 0.23  0.25 25.  ],100000.0
232,20220724_012227_3620110077,0.22999999999999998,0.30000000000000004,20,[ 0.24070139  0.289375   20.34722222],8849.123849804231
233,20220724_012227_3620110077,0.22999999999999998,0.30000000000000004,25,[ 0.24277778  0.29       24.30555556],8967.451214626075
234,20220724_012227_3620110077,0.22999999999999998,0.3500000000000001,20,[ 0.2415  0.3325 20.5   ],8945.990928754734
235,20220724_012227_3620110077,0.22999999999999998,0.3500000000000001,25,[ 0.232875    0.36020833 25.10416667],8749.523001192196
236,20220724_012227_3620110077,0.22999999999999998,0.40000000000000013,20,[ 0.23  0.4  20.  ],100000.0
237,20220724_012227_3620110077,0.22999999999999998,0.40000000000000013,25,[ 0.23  0.4  25.  ],100000.0
238,20220724_012227_3620110077,0.22999999999999998,0.45000000000000007,20,[ 0.23  0.45 20.  ],100000.0
239,20220724_012227_3620110077,0.22999999999999998,0.45000000000000007,25,[ 0.23  0.45 25.  ],100000.0
240,20220730_125009_3620112077,0.19,0.1,20,[ 0.19475     0.10083333 20.16666667],66312.68528913727
241,20220730_125009_3620112077,0.19,0.1,25,[ 0.19416602  0.08965664 26.5473894 ],61689.9140133682
242,20220730_125009_3620112077,0.19,0.15000000000000002,20,[ 0.21251852  0.15333333 19.81481481],70141.87309562879
243,20220730_125009_3620112077,0.19,0.15000000000000002,25,[ 0.19870833  0.153125   25.17361111],69605.97229537087
244,20220730_125009_3620112077,0.19,0.20000000000000004,20,[ 0.20482339  0.19831962 19.00823045],68351.51282533738
245,20220730_125009_3620112077,0.19,0.20000000000000004,25,[ 0.19  0.2  26.25],68164.53164434097
246,20220730_125009_3620112077,0.19,0.25000000000000006,20,[ 0.21138815  0.24577777 18.77495809],68071.81772728974
247,20220730_125009_3620112077,0.19,0.25000000000000006,25,[ 0.20759259  0.25231481 23.61111111],68646.51558850733
248,20220730_125009_3620112077,0.19,0.30000000000000004,20,[ 0.1995  0.3    20.    ],67849.61785883589
249,20220730_125009_3620112077,0.19,0.30000000000000004,25,[ 0.18472222  0.32263889 24.7337963 ],68269.28724069621
250,20220730_125009_3620112077,0.19,0.3500000000000001,20,[ 0.19721018  0.36617607 19.58335477],69981.76632771692
