,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT
0,20221008_030317_3620108077,0.19,0.1,20,0.19,0.10250000000000001,20.0,1359.916272376878
1,20221008_030317_3620108077,0.19,0.1,25,0.19,0.10437500000000001,25.0,1359.916272376878
2,20221008_030317_3620108077,0.19,0.15000000000000002,20,0.19237500000000005,0.148125,20.25,1195.1611276276926
3,20221008_030317_3620108077,0.19,0.15000000000000002,25,0.19413722871126182,0.14554901658297908,24.862290662517882,1195.1611276276926
4,20221008_030317_3620108077,0.19,0.20000000000000004,20,0.1947376302083334,0.20001302083333342,19.993489583333336,1210.0547706077039
5,20221008_030317_3620108077,0.19,0.20000000000000004,25,0.19,0.20000000000000004,26.25,1154.9987082481978
6,20221008_030317_3620108077,0.19,0.25000000000000006,20,0.19475,0.25000000000000006,20.0,961.4885481179145
7,20221008_030317_3620108077,0.19,0.25000000000000006,25,0.1902309027777778,0.25175057870370376,26.008391203703702,1121.6045694650902
8,20221008_030317_3620108077,0.19,0.30000000000000004,20,0.18050000000000005,0.31000000000000005,20.666666666666664,1131.4850983856695
9,20221008_030317_3620108077,0.19,0.30000000000000004,25,0.19809259259259265,0.31944444444444453,24.02777777777777,1050.426188899373
10,20221008_030317_3620108077,0.19,0.3500000000000001,20,0.197037037037037,0.33185185185185195,20.555555555555557,1116.5756925784924
11,20221008_030317_3620108077,0.19,0.3500000000000001,25,0.20647187928669414,0.31927297668038424,24.588477366255134,949.9801340666213
12,20221008_030317_3620108077,0.19,0.40000000000000013,20,0.1797596450617285,0.40000514403292187,20.910751028806576,1189.67442089137
13,20221008_030317_3620108077,0.19,0.40000000000000013,25,0.19475,0.40000000000000013,25.0,1527.4576747507929
14,20221008_030317_3620108077,0.19,0.45000000000000007,20,0.19368711419753087,0.4570659722222222,20.206018518518515,1301.8575326328082
15,20221008_030317_3620108077,0.19,0.45000000000000007,25,0.19475,0.43875,25.625,1297.7835043142884
16,20221008_030317_3620108077,0.21,0.1,20,0.20883333333333332,0.10236111111111112,20.041666666666668,1333.5051974770884
17,20221008_030317_3620108077,0.21,0.1,25,0.21,0.1,26.25,1999.673789247342
18,20221008_030317_3620108077,0.21,0.15000000000000002,20,0.19862499999999994,0.16166666666666668,20.222222222222218,1198.7503660747664
19,20221008_030317_3620108077,0.21,0.15000000000000002,25,0.22399999999999995,0.14750000000000002,23.333333333333336,1362.573280051369
20,20221008_030317_3620108077,0.21,0.20000000000000004,20,0.20976099537037035,0.2054976851851852,20.19020061728395,1032.8182215297788
21,20221008_030317_3620108077,0.21,0.20000000000000004,25,0.212625,0.20250000000000004,25.3125,1103.9091886068197
22,20221008_030317_3620108077,0.21,0.25000000000000006,20,0.2241563593846926,0.24434903383314974,19.39823659510703,1008.887277712166
23,20221008_030317_3620108077,0.21,0.25000000000000006,25,0.205625,0.2618055555555556,25.034722222222218,951.2408256232203
24,20221008_030317_3620108077,0.21,0.30000000000000004,20,0.202140725469393,0.3215586017875516,20.396612975823047,1053.815069677119
25,20221008_030317_3620108077,0.21,0.30000000000000004,25,0.20649999999999993,0.30833333333333346,26.319444444444436,1110.9380168651005
26,20221008_030317_3620108077,0.21,0.3500000000000001,20,0.21145833333333333,0.3446527777777778,20.583333333333336,1184.5356027267962
27,20221008_030317_3620108077,0.21,0.3500000000000001,25,0.20919791666666662,0.3481770833333334,25.42534722222222,1169.477196528725
28,20221008_030317_3620108077,0.21,0.40000000000000013,20,0.21,0.40000000000000013,20.0,1206.8144393043767
29,20221008_030317_3620108077,0.21,0.40000000000000013,25,0.21175,0.41000000000000014,25.208333333333336,1213.3983631214835
30,20221008_030317_3620108077,0.21,0.45000000000000007,20,0.2567770919067214,0.3762551440329228,17.49657064471881,1027.2192364970047
31,20221008_030317_3620108077,0.21,0.45000000000000007,25,0.24137937242798363,0.4103009259259257,25.22226508916325,1036.9571098278566
32,20221008_030317_3620108077,0.22999999999999998,0.1,20,0.23575000000000002,0.10375000000000002,19.25,1333.5051974770884
33,20221008_030317_3620108077,0.22999999999999998,0.1,25,0.23958333333333334,0.10166666666666668,24.375,1534.3910091347582
