,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT
113,20220721_053919_3620108077,0.21,0.1,25,0.3,0.2695465404549601,27.63719566254376,1017.3809614773963
114,20220721_053919_3620108077,0.21,0.15000000000000002,20,0.3,0.476061180409441,20.09278041554268,903.1997054297948
115,20220721_053919_3620108077,0.21,0.15000000000000002,25,0.2575699499674463,0.3526020022654825,25.318450319466503,991.8898335688394
116,20220721_053919_3620108077,0.21,0.20000000000000004,20,0.3,0.4800223303808803,20.0,903.1997054297948
117,20220721_053919_3620108077,0.21,0.20000000000000004,25,0.2751798385163515,0.3447230064219055,25.689477520240466,975.0618391883473
118,20220721_053919_3620108077,0.21,0.25000000000000006,20,0.3,0.47994428423442254,20.07440085063187,903.1997054297948
119,20220721_053919_3620108077,0.21,0.25000000000000006,25,0.24549490335448765,0.2720463064119976,25.465677660502447,927.2448473291289
120,20220721_053919_3620108077,0.21,0.30000000000000004,20,0.3,0.30183020267547206,20.0,979.5918719015373
121,20220721_053919_3620108077,0.21,0.30000000000000004,25,0.26861005040380015,0.3454495857251976,25.729961664848876,973.7078485622777
122,20220721_053919_3620108077,0.21,0.3500000000000001,20,0.3,0.4796305536302932,20.0,903.1997054297948
123,20220721_053919_3620108077,0.21,0.3500000000000001,25,0.3,0.32062049234981316,23.521871465915634,982.7502414872971
124,20220721_053919_3620108077,0.21,0.40000000000000013,20,0.3,0.484851080038116,20.824136778060645,903.1997054297948
125,20220721_053919_3620108077,0.21,0.40000000000000013,25,0.3,0.2679428307552439,25.120225292878647,1014.0829026313146
126,20220721_053919_3620108077,0.21,0.45000000000000007,20,0.3,0.4840581076401233,20.495024703463127,903.1997054297948
127,20220721_053919_3620108077,0.21,0.45000000000000007,25,0.23889215001797354,0.26383169795970773,23.63274463609268,933.5683522834571
128,20220721_053919_3620108077,0.22999999999999998,0.1,20,0.3,0.30910125507181707,21.603741976103198,967.6475317941773
129,20220721_053919_3620108077,0.22999999999999998,0.1,25,0.28355114887753036,0.3073428885329772,24.572553081895077,976.1649393740887
