,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT
0,20221008_030317_3620108077,0.19,0.1,20,0.20278786479077512,0.22990659943507363,22.370758354774487,926.1875893548888
1,20221008_030317_3620108077,0.19,0.1,25,0.20224138057514102,0.2366232244128902,21.97850179888236,926.1875893548888
2,20221008_030317_3620108077,0.19,0.15000000000000002,20,0.20223869883880083,0.23324565228022348,22.552006024234604,926.1875893548888
3,20221008_030317_3620108077,0.19,0.15000000000000002,25,0.20231993646332436,0.23421309341868493,22.51009539826496,926.1875893548888
4,20221008_030317_3620108077,0.19,0.20000000000000004,20,0.2027111039958812,0.23377735283670004,22.882113033711246,926.1875893548888
5,20221008_030317_3620108077,0.19,0.20000000000000004,25,0.20202345721467255,0.23636155198875197,21.388474358677986,926.1875893548888
6,20221008_030317_3620108077,0.19,0.25000000000000006,20,0.2075595570834879,0.23067271797284053,26.385817897289662,926.2018136495387
7,20221008_030317_3620108077,0.19,0.25000000000000006,25,0.20516144604683764,0.2302565272133963,25.94745684455001,926.2018136495387
8,20221008_030317_3620108077,0.19,0.30000000000000004,20,0.20236557803230648,0.24366278518968226,22.004397981014463,926.1875893548888
9,20221008_030317_3620108077,0.19,0.30000000000000004,25,0.20274033932390964,0.23110907832308614,22.793697381444694,926.1875893548888
10,20221008_030317_3620108077,0.19,0.3500000000000001,20,0.20263230706838933,0.23875832748180942,22.388109246985806,926.1875893548888
11,20221008_030317_3620108077,0.19,0.3500000000000001,25,0.20256650083659472,0.23300608628842706,21.829289389890956,926.1875893548888
12,20221008_030317_3620108077,0.19,0.40000000000000013,20,0.20257671198330754,0.23939824317935618,20.490782785662407,926.1875893548888
13,20221008_030317_3620108077,0.19,0.40000000000000013,25,0.20256076380192115,0.25570218828156255,22.842638280539916,926.1875893548888
14,20221008_030317_3620108077,0.19,0.45000000000000007,20,0.20846529277353879,0.2371853593312998,26.994659943240215,926.2018136495387
15,20221008_030317_3620108077,0.19,0.45000000000000007,25,0.20243710057057296,0.238724975014361,21.922628833275354,926.1875893548888
16,20221008_030317_3620108077,0.21,0.1,20,0.2027591749049334,0.23753983805388712,21.473126653259456,926.1875893548888
17,20221008_030317_3620108077,0.21,0.1,25,0.20256030589596918,0.2308714568928131,23.981378388118113,926.1875893548888
18,20221008_030317_3620108077,0.21,0.15000000000000002,20,0.2432798051964081,0.2841660735895543,21.098415749760374,941.973486687229
19,20221008_030317_3620108077,0.21,0.15000000000000002,25,0.2024172632159541,0.23071334053245146,23.493996310685457,926.1875893548888
20,20221008_030317_3620108077,0.21,0.20000000000000004,20,0.2026614796638978,0.23031028222761107,20.30876460465819,926.1875893548888
21,20221008_030317_3620108077,0.21,0.20000000000000004,25,0.20261423857083344,0.23101080718856395,22.502545319071803,926.1875893548888
22,20221008_030317_3620108077,0.21,0.25000000000000006,20,0.20233761474168407,0.2320387975668154,23.049702009037325,926.1875893548888
23,20221008_030317_3620108077,0.21,0.25000000000000006,25,0.20273495339771516,0.23657461723253737,21.68293851788205,926.1875893548888
24,20221008_030317_3620108077,0.21,0.30000000000000004,20,0.20246290166384126,0.23648661220006645,21.28738078264382,926.1875893548888
25,20221008_030317_3620108077,0.21,0.30000000000000004,25,0.20245169710589914,0.23207342200885342,25.07616377301338,926.1875893548888
26,20221008_030317_3620108077,0.21,0.3500000000000001,20,0.2020721959312795,0.23597236833853114,21.799874704190714,926.1875893548888
27,20221008_030317_3620108077,0.21,0.3500000000000001,25,0.20215218357237819,0.22981188472682346,22.82863889776673,926.1875893548888
28,20221008_030317_3620108077,0.21,0.40000000000000013,20,0.20258571547343263,0.23428233151846758,20.79820086897466,926.1875893548888
29,20221008_030317_3620108077,0.21,0.40000000000000013,25,0.20262026019481133,0.23894919993066235,22.81748880516233,926.1875893548888
30,20221008_030317_3620108077,0.21,0.45000000000000007,20,0.2027059099193832,0.2316160085957229,22.94191510312803,926.1875893548888
31,20221008_030317_3620108077,0.21,0.45000000000000007,25,0.20255172458194343,0.23759983313463645,22.73672602004376,926.1875893548888
32,20221008_030317_3620108077,0.22999999999999998,0.1,20,0.20270546626353522,0.23395977141029212,20.574398412020276,926.1875893548888
33,20221008_030317_3620108077,0.22999999999999998,0.1,25,0.20230346927406817,0.2345989614798968,21.649684286303952,926.1875893548888
34,20221008_030317_3620108077,0.22999999999999998,0.15000000000000002,20,0.20214030183499337,0.23508368395282023,22.85177511151792,926.1875893548888
35,20221008_030317_3620108077,0.22999999999999998,0.15000000000000002,25,0.21132739873172857,0.23176790485223214,26.43696700059146,926.2018136495387
36,20221008_030317_3620108077,0.22999999999999998,0.20000000000000004,20,0.20246531347924032,0.2408947246589318,21.834616313931143,926.1875893548888
37,20221008_030317_3620108077,0.22999999999999998,0.20000000000000004,25,0.20259254708928304,0.25640189380541156,20.033850118447745,924.8523284917619
