,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT,RUNTIME
0,20221026_041953_3600609177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,25.842736959457397
1,20221026_102916_3600609177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,26.43220281600952
2,20221026_134805_3600609177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,24.64752984046936
3,20221028_223936_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.867043256759644
4,20221028_210936_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.416616916656494
5,20221029_211205_3620507177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,17.083592891693115
6,20221028_233823_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.642783880233765
7,20221016_234050_3620112077,0.214907,0.281563,22.554918,0.2297937869791667,0.28757554322916673,21.814834753125012,67472.35133174526,39.564926862716675
8,20221018_042025_3620112077,0.214907,0.281563,22.554918,0.21938422916666667,0.2874288958333333,22.272981525,58535.28042826694,24.02546715736389
9,20221016_051533_3600609177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,31.644259929656982
10,20221018_122703_3600606077,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.89128804206848
11,20221016_031633_3620509175,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,17.632291078567505
12,20221008_201115_3620112077,0.214907,0.281563,22.554918,0.220279675,0.281563,22.554918,65032.49068073246,26.434274911880493
13,20221008_030317_3620108077,0.214907,0.281563,22.554918,0.23700295505401242,0.24804592297453704,21.46110889791666,961.3805147673472,36.064732789993286
14,20221008_135325_3620112077,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,63409.28558615348,28.338887929916382
15,20221007_211016_3620108077,0.214907,0.281563,22.554918,0.21532052186053235,0.2960362832609954,22.550023269531252,1752.6408119479306,32.55054521560669
16,20221005_135201_3620108077,,,,,,,,
17,20221007_050103_3620108077,0.214907,0.281563,22.554918,0.22529582989969132,0.28474579162808644,22.903857896527768,1094.7937491854832,38.68519186973572
18,20221006_135137_3620108077,0.214907,0.281563,22.554918,0.20774343333333328,0.2768702833333333,23.6826639,820.8427938170672,33.03198194503784
19,20221006_200315_3620010078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,33.44449996948242
20,20221007_020545_3620010078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,34.78439688682556
21,20221006_220405_3620010078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,33.34644389152527
22,20221007_000455_3620010078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,36.137879848480225
23,20220924_131932_3600110078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,40.52673673629761
24,20220924_120813_3600108078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,39.57617783546448
25,20220924_151811_3600112078,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,39.286954164505005
26,20220924_021937_3620110077,0.214907,0.281563,22.554918,0.2178586547839506,0.29559769891975307,22.105908058333334,9335.929570814349,32.255208015441895
27,20220917_011728_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.64796805381775
28,20220909_235026_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.792962789535522
29,20220904_060426_3620258076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,16.207272052764893
30,20220904_031019_3620258076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,15.056049108505249
31,20220904_042426_3620258076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,16.64417600631714
32,20221018_130408_3400606077,,,,,,,,
33,20221111_223851_3620258076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,16.56700587272644
34,20221001_022926_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.14639115333557
35,20221001_013026_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.772000074386597
36,20221001_003126_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,23.084660053253174
